MCC;Название;Группа;Обновлено;;;;;
3099;Cathay Pacific (CATHAYPA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3099,'Cathay Pacific (CATHAYPA) ');";
3100;Malaysian Airline System (MALAY AI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3100,'Malaysian Airline System (MALAY AI) ');";
3101;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3101,'Авиалинии, авиакомпании ');";
3102;Iberia (IBERIA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3102,'Iberia (IBERIA) ');";
3103;Garuda (Indonesia) (GARUDA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3103,'Garuda (Indonesia) (GARUDA) ');";
3104;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3104,'Авиалинии, авиакомпании ');";
3105;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3105,'Авиалинии, авиакомпании ');";
3106;Braathens S.A.F.E. (Norway) (BRAATHEN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3106,'Braathens S.A.F.E. (Norway) (BRAATHEN) ');";
3107;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3107,'Авиалинии, авиакомпании ');";
3109;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3109,'Авиалинии, авиакомпании ');";
3110;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3110,'Авиалинии, авиакомпании ');";
3111;British Midland (BRITISH M);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3111,'British Midland (BRITISH M) ');";
3112;Windward Island (WINDWARD);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3112,'Windward Island (WINDWARD) ');";
3113;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3113,'Авиалинии, авиакомпании ');";
3114;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3114,'Авиалинии, авиакомпании ');";
3115;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3115,'Авиалинии, авиакомпании ');";
3116;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3116,'Авиалинии, авиакомпании ');";
3117;Venezolana International de Aviacion (VIASA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3117,'Venezolana International de Aviacion (VIASA) ');";
3118;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3118,'Авиалинии, авиакомпании ');";
3119;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3119,'Авиалинии, авиакомпании ');";
3120;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3120,'Авиалинии, авиакомпании ');";
3121;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3121,'Авиалинии, авиакомпании ');";
3122;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3122,'Авиалинии, авиакомпании ');";
3123;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3123,'Авиалинии, авиакомпании ');";
3124;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3124,'Авиалинии, авиакомпании ');";
3125;Tan Airlines (TAN AIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3125,'Tan Airlines (TAN AIR) ');";
3126;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3126,'Авиалинии, авиакомпании ');";
3127;Taca International (TACA INT);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3127,'Taca International (TACA INT) ');";
3128;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3128,'Авиалинии, авиакомпании ');";
3129;Surinam Airways (SURINAM);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3129,'Surinam Airways (SURINAM) ');";
3130;Sunworld International Airways (SUNWORLD);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3130,'Sunworld International Airways (SUNWORLD) ');";
3131;VLM Airlines (VLM);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3131,'VLM Airlines (VLM) ');";
3132;Frontier Airlines (FRONTIER);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3132,'Frontier Airlines (FRONTIER) ');";
3133;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3133,'Авиалинии, авиакомпании ');";
3134;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3134,'Авиалинии, авиакомпании ');";
3135;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3135,'Авиалинии, авиакомпании ');";
3136;Qatar Airways Company W.L.L. (QATAR AIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3136,'Qatar Airways Company W.L.L. (QATAR AIR) ');";
3137;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3137,'Авиалинии, авиакомпании ');";
3138;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3138,'Авиалинии, авиакомпании ');";
3139;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3139,'Авиалинии, авиакомпании ');";
3140;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3140,'Авиалинии, авиакомпании ');";
3141;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3141,'Авиалинии, авиакомпании ');";
3142;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3142,'Авиалинии, авиакомпании ');";
3143;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3143,'Авиалинии, авиакомпании ');";
3144;Virgin Atlantic (VIR ATL);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3144,'Virgin Atlantic (VIR ATL) ');";
3145;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3145,'Авиалинии, авиакомпании ');";
3146;Luxair (LUXAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3146,'Luxair (LUXAIR) ');";
3147;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3147,'Авиалинии, авиакомпании ');";
3148;Air Littoral, S.A. (LITTORAL);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3148,'Air Littoral, S.A. (LITTORAL) ');";
3150;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3150,'Авиалинии, авиакомпании ');";
3151;Air Zaire (AIRZAIRE);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3151,'Air Zaire (AIRZAIRE) ');";
3152;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3152,'Авиалинии, авиакомпании ');";
3153;Авиалинии, авиакомпании;Авиалинии, авиакомпании;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3153,'Авиалинии, авиакомпании ');";
3154;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3154,'Авиалинии, авиакомпании ');";
3155;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3155,'Авиалинии, авиакомпании ');";
3156;GO FLY Ltd. (GOFLY);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3156,'GO FLY Ltd. (GOFLY) ');";
3157;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3157,'Авиалинии, авиакомпании ');";
3158;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3158,'Авиалинии, авиакомпании ');";
3159;Provincetown-Boston Airways (PBA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3159,'Provincetown-Boston Airways (PBA) ');";
3160;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3160,'Авиалинии, авиакомпании ');";
3161;All Nippon Airways (ANAAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3161,'All Nippon Airways (ANAAIR) ');";
3162;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3162,'Авиалинии, авиакомпании ');";
3163;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3163,'Авиалинии, авиакомпании ');";
3164;Norontair (NORONTAI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3164,'Norontair (NORONTAI) ');";
3165;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3165,'Авиалинии, авиакомпании ');";
3166;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3166,'Авиалинии, авиакомпании ');";
3167;Aero Continente (AERO CONT);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3167,'Aero Continente (AERO CONT) ');";
3168;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3168,'Авиалинии, авиакомпании ');";
3169;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3169,'Авиалинии, авиакомпании ');";
3170;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3170,'Авиалинии, авиакомпании ');";
3171;Canadian Airlines (CANADIAN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3171,'Canadian Airlines (CANADIAN) ');";
3172;Nation Air (NATIONAI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3172,'Nation Air (NATIONAI) ');";
3173;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3173,'Авиалинии, авиакомпании ');";
3174;JetBlue Airways (JETBLUE);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3174,'JetBlue Airways (JETBLUE) ');";
3175;Middle East Air (MIDEASTA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3175,'Middle East Air (MIDEASTA) ');";
3176;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3176,'Авиалинии, авиакомпании ');";
3177;AirTran Airways (AIRTRAN A);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3177,'AirTran Airways (AIRTRAN A) ');";
3178;Mesa Air (MESA AIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3178,'Mesa Air (MESA AIR) ');";
3179;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3179,'Авиалинии, авиакомпании ');";
3180;Westjet Airlines (WESTJET);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3180,'Westjet Airlines (WESTJET) ');";
3181;Malev Hungarian Airlines (MALEV);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3181,'Malev Hungarian Airlines (MALEV) ');";
3182;LOT – Polish Airlines (LOT);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3182,'LOT – Polish Airlines (LOT) ');";
